index,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
69,4.5,4.3,5.7,4.5,5.9,4.8,4.2,4.5,3.5,3.7,5.1,4.5,4.5,5.3,5,4.4,5.3,3.6,4.5,5.2,5.9,2.9,2.4,4.3,3,3.5,5,3.4,4.1,3.9
70,4.1,4.1,5.3,4.6,5.6,4.9,4.6,4.7,3.5,3.7,5.1,4.3,4.7,5.5,4.7,4.5,4.9,3.5,4.1,5.2,6.1,3.5,2.4,4.1,2.7,3.8,5.1,3.9,5,4.3
71,3.9,4.1,5.5,4.9,5.8,4.7,4.8,5,3.2,3.4,4.6,3.9,4.6,5.3,4.7,4.3,4.8,3.5,3.9,4.9,6.5,3.6,2.4,4.4,3.4,3.3,5.2,3.8,5.1,4
72,4.1,4.6,5.1,5.1,5.7,4.5,5.1,5.1,3.3,3.8,4.4,4,4.7,5,4.6,3.9,4.7,3.9,3.7,4.7,6.1,3.1,2.5,4.5,3.1,4.1,5.3,3.8,4.8,3.4
73,4.1,4.8,5.2,4.8,5.7,4.4,5.1,5.3,3.1,3.7,4.5,3.7,4.8,4.9,4.3,3.9,4.3,3.8,3.5,4.9,5.8,3.5,3.1,4.1,3.1,4.1,5.4,4.5,5.1,4
74,4.1,4.9,4.8,4.7,5.3,4.2,4.9,5.9,3.3,4.1,4.7,4,4.6,5,4.2,4.1,4.3,3.5,3.4,4.7,5.9,3.7,3.6,4,2.9,4.1,5.5,4.7,5.7,4
75,4.3,5.1,4.9,4.2,5.6,4.7,4.7,6.2,3.1,4.3,4.5,4,4.5,4.2,4.1,4.3,4.4,3.6,3.9,5,5.9,3.7,3.1,4,2.9,4.3,5.6,4.8,5.8,3.9
76,4.7,4.9,5.7,4.5,5.1,5,4.6,6.5,3.5,3.6,4.8,3.3,4.7,3.4,4.4,4.5,4.5,3.8,3.7,4.9,6.1,3.9,3.5,4,3,4.1,5.3,4.9,5.9,4
77,4.4,4.9,5.5,4.3,5.5,4.5,4.7,6.4,4,3.6,4.9,3.2,4.1,3.3,4.4,5.5,4.5,4,3.7,5.3,5.7,4.1,3.4,4.2,2.9,4.3,5.3,5.2,5.6,3.7
78,4.7,5.1,5.5,4.4,5.1,4.3,5.1,6.6,3.9,3.7,5.1,3.4,3.7,3.7,3.9,5.8,4.5,3.7,3.6,5.3,5.3,4,3.6,3.8,3.2,4.7,5.3,5.5,5.6,3.7
